Feature,RF_Importance,F_Score
"('chroma_cqt', 'skew')",0.0010401708291161345,1186.9350318457703
"('mfcc', 'kurtosis.7')",0.0010378330444944267,190.831449500525
"('chroma_cqt', 'max')",0.0010365129121961932,1299.7176703299674
"('tonnetz', 'skew')",0.0010360458443650475,417.60938416505155
"('chroma_cens', 'skew.5')",0.0010333845132810993,791.0149107923958
"('tonnetz', 'median.3')",0.0010295541473093232,1351.8366074111445
"('chroma_stft', 'kurtosis.4')",0.0010293296911490122,122.98831984730629
"('chroma_stft', 'kurtosis.3')",0.0010274180062360835,380.0360772010488
"('chroma_cens', 'median.2')",0.0010253889509237225,616.67513490693
"('chroma_stft', 'min.1')",0.0010205463651834568,567.6621143289302
"('chroma_cens', 'kurtosis.5')",0.0010151153344310276,317.2292904894895
